"stock","MortType","CatchYear","AABM Fishery_SEAK_All","AABM Fishery_NBC_T","AABM Fishery_NBC_S","AABM Fishery_WCVI_FW","AABM Fishery_WCVI_SPR T","AABM Fishery_WCVI_SUM T","AABM Fishery_WCVI_AABM S","ISBM Fishery_NBC & CBC_Central T","ISBM Fishery_NBC & CBC_North N","ISBM Fishery_NBC & CBC_TNBC Term N","ISBM Fishery_NBC & CBC_Central N","ISBM Fishery_NBC & CBC_TCBC Term N","ISBM Fishery_NBC & CBC_CBC S","ISBM Fishery_NBC & CBC_ TCBC TERM S","ISBM Fishery_NBC & CBC_NBC ISBM S","ISBM Fishery_NBC & CBC_TNBC TERM S","ISBM Fishery_Southern BC_GEO ST T","ISBM Fishery_Southern BC_WCVI N","ISBM Fishery_Southern BC_GEO ST N","ISBM Fishery_Southern BC_JNST N","ISBM Fishery_Southern BC_BC JF N","ISBM Fishery_Southern BC_FRASER N","ISBM Fishery_Southern BC_ TFRASER TERM N","ISBM Fishery_Southern BC_GEO ST S","ISBM Fishery_Southern BC_TGEO ST TERM S","ISBM Fishery_Southern BC_JNST S","ISBM Fishery_Southern BC_TJNST TERM S","ISBM Fishery_Southern BC_BC JF S","ISBM Fishery_Southern BC_TBC JF TERM S","ISBM Fishery_Southern BC_WCVI ISBM S","ISBM Fishery_US_T","Terminal Fishery_SEAK_All","Terminal Fishery_Canada_TNORTH FN","Terminal Fishery_Canada_TCENTRAL FN","Terminal Fishery_Canada_TGEO ST FN","Terminal Fishery_Canada_TFRAS FN","Terminal Fishery_Canada_CAN TBR TERM FN","Terminal Fishery_Canada_TWCVI TERM N","Terminal Fishery_Canada_TNORTH FS","Terminal Fishery_Canada_TCENTRAL FS","Terminal Fishery_Canada_TWCVI FS","Terminal Fishery_Canada_TFRASER FS","Terminal Fishery_Canada_TGS FS","Terminal Fishery_Canada_TWCVI TERM S","Terminal Fishery_Southern US_All","Escapement_    _Stray","Esc.",
"ATN","LC",1979,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"ATN","LC",1980,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"ATN","LC",1981,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"ATN","LC",1982,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"ATN","LC",1983,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"ATN","LC",1984,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"ATN","LC",1985,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"ATN","LC",1986,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"ATN","LC",1987,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"ATN","LC",1988,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"ATN","LC",1989,22.2222222222222,33.3333333333333,0,0,0,0,0,0,0,0,0,44.4444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"ATN","LC",1990,18.6991869918699,0,0,0,0,0,0,1.6260162601626,0,0,0,17.0731707317073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2520325203252,0,0,0,0,0,0,0,0,0,0,0,0,59.349593495935,
