PFMA,Strata name,Classification ,month,uncertain
"PFMA 23-1, 23-2",Alberni Canal Sport,WCVI AABM,January,
"PFMA 23-1, 23-2",Alberni Canal Sport,WCVI AABM,February,
"PFMA 23-1, 23-2",Alberni Canal Sport,WCVI AABM,March,
"PFMA 23-1, 23-2",Alberni Canal Sport,WCVI AABM,April,
"PFMA 23-1, 23-2",Alberni Canal Sport,WCVI AABM,May,
"PFMA 23-1, 23-2",Alberni Canal Sport,WCVI AABM,June,
"PFMA 23-1, 23-2",Alberni Canal Sport,ISBM,July,
"PFMA 23-1, 23-2",Alberni Canal Sport,ISBM,August,
"PFMA 23-1, 23-2",Alberni Canal Sport,ISBM,September,
"PFMA 23-1, 23-2",Alberni Canal Sport,ISBM,October,
"PFMA 23-1, 23-2",Alberni Canal Sport,WCVI AABM,November,
"PFMA 23-1, 23-2",Alberni Canal Sport,WCVI AABM,December,
"PFMA 23-1, 23-2",Alberni Canal Sport - Direct,WCVI AABM,January,
"PFMA 23-1, 23-2",Alberni Canal Sport - Direct,WCVI AABM,February,
"PFMA 23-1, 23-2",Alberni Canal Sport - Direct,WCVI AABM,March,
"PFMA 23-1, 23-2",Alberni Canal Sport - Direct,WCVI AABM,April,
"PFMA 23-1, 23-2",Alberni Canal Sport - Direct,WCVI AABM,May,
"PFMA 23-1, 23-2",Alberni Canal Sport - Direct,WCVI AABM,June,
"PFMA 23-1, 23-2",Alberni Canal Sport - Direct,ISBM,July,
"PFMA 23-1, 23-2",Alberni Canal Sport - Direct,ISBM,August,
"PFMA 23-1, 23-2",Alberni Canal Sport - Direct,ISBM,September,
"PFMA 23-1, 23-2",Alberni Canal Sport - Direct,ISBM,October,
"PFMA 23-1, 23-2",Alberni Canal Sport - Direct,WCVI AABM,November,
"PFMA 23-1, 23-2",Alberni Canal Sport - Direct,WCVI AABM,December,
MRP AREA 23A (PFMA Subareas 23-1 and -2),Alberni Inlet FSC,ISBM,January,
MRP AREA 23A (PFMA Subareas 23-1 and -2),Alberni Inlet FSC,ISBM,February,
MRP AREA 23A (PFMA Subareas 23-1 and -2),Alberni Inlet FSC,ISBM,March,
MRP AREA 23A (PFMA Subareas 23-1 and -2),Alberni Inlet FSC,ISBM,April,
